LLM 总参数量: 25960960
LoRA 参数量: 131072
LoRA 参数占比: 0.50%
Epoch:[3/30](1000/1179) loss:3.183 lr:0.000107792457 epoch_Time:0.0min:
Epoch:[3/30](1100/1179) loss:2.518 lr:0.000107660070 epoch_Time:0.0min:
Epoch:[4/30](0/1179) loss:2.331 lr:0.000107552826 epoch_Time:105.0min:
Epoch:[4/30](100/1179) loss:2.636 lr:0.000107413716 epoch_Time:3.0min:
Epoch:[4/30](200/1179) loss:2.550 lr:0.000107270866 epoch_Time:3.0min:
Epoch:[4/30](300/1179) loss:1.799 lr:0.000107124287 epoch_Time:2.0min:
Epoch:[4/30](400/1179) loss:1.990 lr:0.000106973989 epoch_Time:2.0min:
Epoch:[4/30](500/1179) loss:2.632 lr:0.000106819987 epoch_Time:1.0min:
Epoch:[4/30](600/1179) loss:2.746 lr:0.000106662290 epoch_Time:1.0min:
Epoch:[4/30](700/1179) loss:2.655 lr:0.000106500912 epoch_Time:1.0min:
Epoch:[4/30](800/1179) loss:1.867 lr:0.000106335866 epoch_Time:1.0min:
Epoch:[4/30](900/1179) loss:1.996 lr:0.000106167164 epoch_Time:0.0min:
Epoch:[4/30](1000/1179) loss:3.163 lr:0.000105994820 epoch_Time:0.0min:
Epoch:[4/30](1100/1179) loss:2.508 lr:0.000105818848 epoch_Time:0.0min:
Epoch:[5/30](0/1179) loss:2.266 lr:0.000105677273 epoch_Time:112.0min:
Epoch:[5/30](100/1179) loss:2.582 lr:0.000105494840 epoch_Time:3.0min:
Epoch:[5/30](200/1179) loss:2.516 lr:0.000105308818 epoch_Time:3.0min:
Epoch:[5/30](300/1179) loss:1.764 lr:0.000105119222 epoch_Time:2.0min:
Epoch:[5/30](400/1179) loss:1.954 lr:0.000104926066 epoch_Time:2.0min:
Epoch:[5/30](500/1179) loss:2.617 lr:0.000104729366 epoch_Time:1.0min:
Epoch:[5/30](600/1179) loss:2.684 lr:0.000104529137 epoch_Time:1.0min:
Epoch:[5/30](700/1179) loss:2.625 lr:0.000104325395 epoch_Time:1.0min:
Epoch:[5/30](800/1179) loss:1.839 lr:0.000104118156 epoch_Time:1.0min:
Epoch:[5/30](900/1179) loss:1.961 lr:0.000103907437 epoch_Time:0.0min:
Epoch:[5/30](1000/1179) loss:3.148 lr:0.000103693254 epoch_Time:0.0min:
Epoch:[5/30](1100/1179) loss:2.499 lr:0.000103475624 epoch_Time:0.0min:
Epoch:[6/30](0/1179) loss:2.213 lr:0.000103301270 epoch_Time:110.0min:
Epoch:[6/30](100/1179) loss:2.538 lr:0.000103077513 epoch_Time:3.0min:
Epoch:[6/30](200/1179) loss:2.492 lr:0.000102850357 epoch_Time:3.0min:
Epoch:[6/30](300/1179) loss:1.736 lr:0.000102619821 epoch_Time:2.0min:
Epoch:[6/30](400/1179) loss:1.929 lr:0.000102385923 epoch_Time:2.0min:
Epoch:[6/30](500/1179) loss:2.607 lr:0.000102148681 epoch_Time:1.0min:
Epoch:[6/30](600/1179) loss:2.637 lr:0.000101908113 epoch_Time:1.0min:
Epoch:[6/30](700/1179) loss:2.604 lr:0.000101664240 epoch_Time:1.0min:
Epoch:[6/30](800/1179) loss:1.816 lr:0.000101417079 epoch_Time:1.0min:
Epoch:[6/30](900/1179) loss:1.933 lr:0.000101166651 epoch_Time:0.0min:
Epoch:[6/30](1000/1179) loss:3.136 lr:0.000100912975 epoch_Time:0.0min:
Epoch:[6/30](1100/1179) loss:2.492 lr:0.000100656072 epoch_Time:0.0min:
Epoch:[7/30](0/1179) loss:2.169 lr:0.000100450850 epoch_Time:110.0min:
Epoch:[7/30](100/1179) loss:2.501 lr:0.000100188220 epoch_Time:3.0min:
Epoch:[7/30](200/1179) loss:2.472 lr:0.000099922419 epoch_Time:3.0min:
Epoch:[7/30](300/1179) loss:1.714 lr:0.000099653469 epoch_Time:2.0min:
Epoch:[7/30](400/1179) loss:1.909 lr:0.000099381391 epoch_Time:2.0min:
Epoch:[7/30](500/1179) loss:2.596 lr:0.000099106206 epoch_Time:1.0min:
Epoch:[7/30](600/1179) loss:2.598 lr:0.000098827935 epoch_Time:1.0min:
Epoch:[7/30](700/1179) loss:2.589 lr:0.000098546602 epoch_Time:1.0min:
Epoch:[7/30](800/1179) loss:1.797 lr:0.000098262228 epoch_Time:1.0min:
Epoch:[7/30](900/1179) loss:1.909 lr:0.000097974835 epoch_Time:0.0min:
Epoch:[7/30](1000/1179) loss:3.125 lr:0.000097684446 epoch_Time:0.0min:
Epoch:[7/30](1100/1179) loss:2.486 lr:0.000097391084 epoch_Time:0.0min:
Epoch:[8/30](0/1179) loss:2.131 lr:0.000097157241 epoch_Time:106.0min:
Epoch:[8/30](100/1179) loss:2.470 lr:0.000096858616 epoch_Time:3.0min:
Epoch:[8/30](200/1179) loss:2.456 lr:0.000096557083 epoch_Time:3.0min:
Epoch:[8/30](300/1179) loss:1.696 lr:0.000096252665 epoch_Time:2.0min:
Epoch:[8/30](400/1179) loss:1.892 lr:0.000095945388 epoch_Time:2.0min:
Epoch:[8/30](500/1179) loss:2.588 lr:0.000095635275 epoch_Time:1.0min:
Epoch:[8/30](600/1179) loss:2.565 lr:0.000095322351 epoch_Time:1.0min:
Epoch:[8/30](700/1179) loss:2.577 lr:0.000095006640 epoch_Time:1.0min:
Epoch:[8/30](800/1179) loss:1.781 lr:0.000094688167 epoch_Time:1.0min:
Epoch:[8/30](900/1179) loss:1.890 lr:0.000094366958 epoch_Time:0.0min:
Epoch:[8/30](1000/1179) loss:3.115 lr:0.000094043037 epoch_Time:0.0min:
Epoch:[8/30](1100/1179) loss:2.480 lr:0.000093716431 epoch_Time:0.0min:
Epoch:[9/30](0/1179) loss:2.099 lr:0.000093456530 epoch_Time:108.0min:
Epoch:[9/30](100/1179) loss:2.443 lr:0.000093125181 epoch_Time:3.0min:
Epoch:[9/30](200/1179) loss:2.441 lr:0.000092791219 epoch_Time:3.0min:
Epoch:[9/30](300/1179) loss:1.680 lr:0.000092454670 epoch_Time:2.0min:
Epoch:[9/30](400/1179) loss:1.878 lr:0.000092115560 epoch_Time:2.0min:
Epoch:[9/30](500/1179) loss:2.582 lr:0.000091773917 epoch_Time:1.0min:
Epoch:[9/30](600/1179) loss:2.535 lr:0.000091429767 epoch_Time:1.0min:
Epoch:[9/30](700/1179) loss:2.567 lr:0.000091083137 epoch_Time:1.0min:
Epoch:[9/30](800/1179) loss:1.767 lr:0.000090734056 epoch_Time:1.0min:
Epoch:[9/30](900/1179) loss:1.873 lr:0.000090382549 epoch_Time:0.0min:
Epoch:[9/30](1000/1179) loss:3.106 lr:0.000090028646 epoch_Time:0.0min:
Epoch:[9/30](1100/1179) loss:2.475 lr:0.000089672374 epoch_Time:0.0min:
Epoch:[10/30](0/1179) loss:2.071 lr:0.000089389263 epoch_Time:106.0min:
Epoch:[10/30](100/1179) loss:2.421 lr:0.000089028820 epoch_Time:3.0min:
Epoch:[10/30](200/1179) loss:2.428 lr:0.000088666088 epoch_Time:3.0min:
Epoch:[10/30](300/1179) loss:1.667 lr:0.000088301094 epoch_Time:2.0min:
Epoch:[10/30](400/1179) loss:1.865 lr:0.000087933867 epoch_Time:2.0min:
Epoch:[10/30](500/1179) loss:2.577 lr:0.000087564437 epoch_Time:1.0min:
Epoch:[10/30](600/1179) loss:2.509 lr:0.000087192832 epoch_Time:1.0min:
Epoch:[10/30](700/1179) loss:2.559 lr:0.000086819082 epoch_Time:1.0min:
Epoch:[10/30](800/1179) loss:1.755 lr:0.000086443216 epoch_Time:1.0min:
Epoch:[10/30](900/1179) loss:1.858 lr:0.000086065264 epoch_Time:0.0min:
Epoch:[10/30](1000/1179) loss:3.098 lr:0.000085685255 epoch_Time:0.0min:
Epoch:[10/30](1100/1179) loss:2.471 lr:0.000085303220 epoch_Time:0.0min:
Epoch:[11/30](0/1179) loss:2.046 lr:0.000085000000 epoch_Time:106.0min:
Epoch:[11/30](100/1179) loss:2.402 lr:0.000084614413 epoch_Time:3.0min:
Epoch:[11/30](200/1179) loss:2.417 lr:0.000084226885 epoch_Time:3.0min:
Epoch:[11/30](300/1179) loss:1.655 lr:0.000083837445 epoch_Time:2.0min:
Epoch:[11/30](400/1179) loss:1.854 lr:0.000083446125 epoch_Time:2.0min:
Epoch:[11/30](500/1179) loss:2.573 lr:0.000083052955 epoch_Time:1.0min:
Epoch:[11/30](600/1179) loss:2.485 lr:0.000082657967 epoch_Time:1.0min:
Epoch:[11/30](700/1179) loss:2.551 lr:0.000082261191 epoch_Time:1.0min:
Epoch:[11/30](800/1179) loss:1.743 lr:0.000081862658 epoch_Time:1.0min:
Epoch:[11/30](900/1179) loss:1.846 lr:0.000081462401 epoch_Time:0.0min:
Epoch:[11/30](1000/1179) loss:3.090 lr:0.000081060451 epoch_Time:0.0min:
Epoch:[11/30](1100/1179) loss:2.468 lr:0.000080656839 epoch_Time:0.0min:
Epoch:[12/30](0/1179) loss:2.026 lr:0.000080336832 epoch_Time:110.0min:
Epoch:[12/30](100/1179) loss:2.386 lr:0.000079930326 epoch_Time:3.0min:
Epoch:[12/30](200/1179) loss:2.407 lr:0.000079522247 epoch_Time:3.0min:
Epoch:[12/30](300/1179) loss:1.645 lr:0.000079112629 epoch_Time:2.0min:
Epoch:[12/30](400/1179) loss:1.844 lr:0.000078701502 epoch_Time:2.0min:
Epoch:[12/30](500/1179) loss:2.568 lr:0.000078288901 epoch_Time:1.0min:
Epoch:[12/30](600/1179) loss:2.463 lr:0.000077874856 epoch_Time:1.0min:
Epoch:[12/30](700/1179) loss:2.544 lr:0.000077459401 epoch_Time:1.0min:
Epoch:[12/30](800/1179) loss:1.733 lr:0.000077042569 epoch_Time:1.0min:
Epoch:[12/30](900/1179) loss:1.834 lr:0.000076624392 epoch_Time:0.0min:
Epoch:[12/30](1000/1179) loss:3.082 lr:0.000076204904 epoch_Time:0.0min:
Epoch:[12/30](1100/1179) loss:2.466 lr:0.000075784137 epoch_Time:0.0min:
Epoch:[13/30](0/1179) loss:2.008 lr:0.000075450850 epoch_Time:109.0min:
Epoch:[13/30](100/1179) loss:2.372 lr:0.000075027878 epoch_Time:3.0min:
Epoch:[13/30](200/1179) loss:2.399 lr:0.000074603720 epoch_Time:3.0min:
Traceback (most recent call last):
  File "E:\Desktop\Documents\Git\minimind\trainer\train_lora.py", line 208, in <module>
    train_epoch(epoch, wandb)
  File "E:\Desktop\Documents\Git\minimind\trainer\train_lora.py", line 62, in train_epoch
    scaler.step(optimizer)
  File "E:\Anaconda\envs\minimind\Lib\site-packages\torch\amp\grad_scaler.py", line 453, in step
    retval = self._maybe_opt_step(optimizer, optimizer_state, *args, **kwargs)
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "E:\Anaconda\envs\minimind\Lib\site-packages\torch\amp\grad_scaler.py", line 350, in _maybe_opt_step
    if not sum(v.item() for v in optimizer_state["found_inf_per_device"].values()):
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "E:\Anaconda\envs\minimind\Lib\site-packages\torch\amp\grad_scaler.py", line 350, in <genexpr>
    if not sum(v.item() for v in optimizer_state["found_inf_per_device"].values()):
               ^^^^^^^^
KeyboardInterrupt
